Name,Subject,Location,URL,World rank (in that subject),Europe rank (in that subject),Acceptance Rate (-1 is an unknown acceptance rate),Enrollment
University of Padua,Astrophysics,Veneto | Padua,https://edurank.org/uni/university-of-padua/,42,12,-1.0,62876
University of Bologna,Astrophysics,Emilia-Romagna | Bologna,https://edurank.org/uni/university-of-bologna/,54,18,0.55,79999
International School for Advanced Studies,Astrophysics,Friuli-Venezia Giulia | Trieste,https://edurank.org/uni/international-school-for-advanced-studies/,59,20,0.05,375
Sapienza University of Rome,Astrophysics,Lazio | Rome,https://edurank.org/uni/sapienza-university-of-rome/,75,27,-1.0,100155
University of Milan,Astrophysics,Lombardy | Milan,https://edurank.org/uni/university-of-milan/,136,56,-1.0,65234
University of Trieste,Astrophysics,Friuli-Venezia Giulia | Trieste,https://edurank.org/uni/university-of-trieste/,154,66,-1.0,17500
University of Rome Tor Vergata,Astrophysics,Lazio | Rome,https://edurank.org/uni/university-of-rome-tor-vergata/,167,70,-1.0,27500
University of Pisa,Astrophysics,Tuscany | Pisa,https://edurank.org/uni/university-of-pisa/,180,76,0.25,49108
University of Turin,Astrophysics,Piedmont | Turin,https://edurank.org/uni/university-of-turin/,182,77,-1.0,45000
University of Florence,Astrophysics,Tuscany | Florence,https://edurank.org/uni/university-of-florence/,190,83,-1.0,45000
University of Palermo,Astrophysics,Sicily | Palermo,https://edurank.org/uni/university-of-palermo/,235,98,-1.0,42500
Roma Tre University,Astrophysics,Lazio | Rome,https://edurank.org/uni/roma-tre-university/,250,103,0.75,32500
University of Ferrara,Astrophysics,Emilia-Romagna | Ferrara,https://edurank.org/uni/university-of-ferrara/,257,106,-1.0,22800
University of Catania,Astrophysics,Sicily | Catania,https://edurank.org/uni/university-of-catania/,287,116,0.25,42500
University of Perugia,Astrophysics,Umbria | Perugia,https://edurank.org/uni/university-of-perugia/,291,119,0.7,26732
University of Milano-Bicocca,Astrophysics,Lombardy | Milan,https://edurank.org/uni/university-of-milano-bicocca/,311,124,-1.0,33741
University of Salerno,Astrophysics,Campania | Salerno,https://edurank.org/uni/university-of-salerno/,336,133,-1.0,35537
University of Calabria,Astrophysics,Calabria | Cosenza,https://edurank.org/uni/university-of-calabria/,364,147,0.2,27500
University of Cagliari,Astrophysics,Sardinia | Cagliari,https://edurank.org/uni/university-of-cagliari/,373,151,0.85,26069
Federico II University of Naples,Astrophysics,Campania | Naples,https://edurank.org/uni/federico-ii-university-of-naples/,384,157,-1.0,78324
University of Bari,Astrophysics,Apulia | Bari,https://edurank.org/uni/university-of-bari/,419,169,-1.0,42500
University of Trento,Astrophysics,Trentino-South Tyrol | Trento,https://edurank.org/uni/university-of-trento/,437,178,0.55,16239
University of Insubria,Astrophysics,Lombardy | Varese,https://edurank.org/uni/university-of-insubria/,443,181,-1.0,12500
University of Pavia,Astrophysics,Lombardy | Pavia,https://edurank.org/uni/university-of-pavia/,467,190,-1.0,22500
University of Genoa,Astrophysics,Liguria | Genoa,https://edurank.org/uni/university-of-genoa/,497,197,-1.0,36728
University of Udine,Astrophysics,Friuli-Venezia Giulia | Udine,https://edurank.org/uni/university-of-udine/,508,202,0.73,17500
University of Siena,Astrophysics,Tuscany | Siena,https://edurank.org/uni/university-of-siena/,533,209,0.81,17500
University of Aquila,Astrophysics,Abruzzo | L'Aquila,https://edurank.org/uni/university-of-aquila/,537,211,-1.0,17500
Polytechnic University of Turin,Astrophysics,Piedmont | Turin,https://edurank.org/uni/polytechnic-university-of-turin/,538,212,-1.0,32500
Carlo Bo University of Urbino,Astrophysics,Marche | Urbino,https://edurank.org/uni/carlo-bo-university-of-urbino/,560,219,-1.0,22000
University of Salento,Astrophysics,Apulia | Lecce,https://edurank.org/uni/university-of-salento/,657,242,-1.0,19401
Normal School of Pisa,Astrophysics,Tuscany | Pisa,https://edurank.org/uni/normal-school-of-pisa/,702,253,0.05,125
University of Parma,Astrophysics,Emilia-Romagna | Parma,https://edurank.org/uni/university-of-parma/,714,256,-1.0,27500
University of Sannio,Astrophysics,Campania | Benevento,https://edurank.org/uni/university-of-sannio/,742,264,-1.0,4500
Parthenope University of Naples,Astrophysics,Campania | Naples,https://edurank.org/uni/parthenope-university-of-naples/,883,285,-1.0,12500
Polytechnic University of Milan,Astrophysics,Lombardy | Milan,https://edurank.org/uni/polytechnic-university-of-milan/,942,294,-1.0,43965
University of Camerino,Astrophysics,Marche | Camerino,https://edurank.org/uni/university-of-camerino/,966,300,-1.0,6500
