Name,Subject,Location,URL,World rank (in that subject),Europe rank (in that subject),Acceptance Rate (-1 is an unknown acceptance rate),Enrollment
University of Bologna,Criminology,Emilia-Romagna | Bologna,https://edurank.org/uni/university-of-bologna/,340,87,0.55,79999
Catholic University of the Sacred Heart,Criminology,Lombardy | Milan,https://edurank.org/uni/catholic-university-of-the-sacred-heart/,453,127,0.66,42500
University of Milan,Criminology,Lombardy | Milan,https://edurank.org/uni/university-of-milan/,465,132,-1.0,65234
Sapienza University of Rome,Criminology,Lazio | Rome,https://edurank.org/uni/sapienza-university-of-rome/,498,141,-1.0,100155
University of Turin,Criminology,Piedmont | Turin,https://edurank.org/uni/university-of-turin/,533,152,-1.0,45000
University of Bari,Criminology,Apulia | Bari,https://edurank.org/uni/university-of-bari/,584,166,-1.0,42500
University of Trento,Criminology,Trentino-South Tyrol | Trento,https://edurank.org/uni/university-of-trento/,676,188,0.55,16239
University of Padua,Criminology,Veneto | Padua,https://edurank.org/uni/university-of-padua/,685,191,-1.0,62876
University of Genoa,Criminology,Liguria | Genoa,https://edurank.org/uni/university-of-genoa/,713,196,-1.0,36728
University of Palermo,Criminology,Sicily | Palermo,https://edurank.org/uni/university-of-palermo/,750,208,-1.0,42500
