Name,Subject,Location,URL,World rank (in that subject),Europe rank (in that subject),Acceptance Rate (-1 is an unknown acceptance rate),Enrollment
Sapienza University of Rome,History,Lazio | Rome,https://edurank.org/uni/sapienza-university-of-rome/,48,16,-1.0,100155
University of Florence,History,Tuscany | Florence,https://edurank.org/uni/university-of-florence/,183,63,-1.0,45000
University of Milan,History,Lombardy | Milan,https://edurank.org/uni/university-of-milan/,187,64,-1.0,65234
University of Bologna,History,Emilia-Romagna | Bologna,https://edurank.org/uni/university-of-bologna/,189,66,0.55,79999
University of Pavia,History,Lombardy | Pavia,https://edurank.org/uni/university-of-pavia/,283,101,-1.0,22500
University of Turin,History,Piedmont | Turin,https://edurank.org/uni/university-of-turin/,313,115,-1.0,45000
University of Pisa,History,Tuscany | Pisa,https://edurank.org/uni/university-of-pisa/,316,117,0.25,49108
University of Padua,History,Veneto | Padua,https://edurank.org/uni/university-of-padua/,332,123,-1.0,62876
University of Trento,History,Trentino-South Tyrol | Trento,https://edurank.org/uni/university-of-trento/,417,152,0.55,16239
University of Ferrara,History,Emilia-Romagna | Ferrara,https://edurank.org/uni/university-of-ferrara/,474,175,-1.0,22800
Polytechnic University of Milan,History,Lombardy | Milan,https://edurank.org/uni/polytechnic-university-of-milan/,499,186,-1.0,43965
University of Bari,History,Apulia | Bari,https://edurank.org/uni/university-of-bari/,511,194,-1.0,42500
University of Verona,History,Veneto | Verona,https://edurank.org/uni/university-of-verona/,539,204,0.83,23000
Ca Foscari University of Venice,History,Veneto | Venice,https://edurank.org/uni/ca-foscari-university-of-venice/,557,211,-1.0,22500
University of Genoa,History,Liguria | Genoa,https://edurank.org/uni/university-of-genoa/,567,213,-1.0,36728
University of Cagliari,History,Sardinia | Cagliari,https://edurank.org/uni/university-of-cagliari/,590,224,0.85,26069
University of Siena,History,Tuscany | Siena,https://edurank.org/uni/university-of-siena/,616,233,0.81,17500
Catholic University of the Sacred Heart,History,Lombardy | Milan,https://edurank.org/uni/catholic-university-of-the-sacred-heart/,623,237,0.66,42500
University of Messina,History,Sicily | Messina,https://edurank.org/uni/university-of-messina/,631,240,-1.0,22500
University of Catania,History,Sicily | Catania,https://edurank.org/uni/university-of-catania/,632,241,0.25,42500
University of Rome Tor Vergata,History,Lazio | Rome,https://edurank.org/uni/university-of-rome-tor-vergata/,651,248,-1.0,27500
Federico II University of Naples,History,Campania | Naples,https://edurank.org/uni/federico-ii-university-of-naples/,662,253,-1.0,78324
University of Palermo,History,Sicily | Palermo,https://edurank.org/uni/university-of-palermo/,696,267,-1.0,42500
