Name,Subject,Location,URL,World rank (in that subject),Europe rank (in that subject),Acceptance Rate (-1 is an unknown acceptance rate),Enrollment
University of Milan,Nuclear Physics,Lombardy | Milan,https://edurank.org/uni/university-of-milan/,26,12,-1.0,65234
Sapienza University of Rome,Nuclear Physics,Lazio | Rome,https://edurank.org/uni/sapienza-university-of-rome/,34,15,-1.0,100155
University of Turin,Nuclear Physics,Piedmont | Turin,https://edurank.org/uni/university-of-turin/,45,19,-1.0,45000
University of Padua,Nuclear Physics,Veneto | Padua,https://edurank.org/uni/university-of-padua/,70,33,-1.0,62876
University of Bologna,Nuclear Physics,Emilia-Romagna | Bologna,https://edurank.org/uni/university-of-bologna/,81,41,0.55,79999
University of Rome Tor Vergata,Nuclear Physics,Lazio | Rome,https://edurank.org/uni/university-of-rome-tor-vergata/,96,48,-1.0,27500
University of Pisa,Nuclear Physics,Tuscany | Pisa,https://edurank.org/uni/university-of-pisa/,98,49,0.25,49108
University of Catania,Nuclear Physics,Sicily | Catania,https://edurank.org/uni/university-of-catania/,100,50,0.25,42500
University of Florence,Nuclear Physics,Tuscany | Florence,https://edurank.org/uni/university-of-florence/,110,56,-1.0,45000
University of Milano-Bicocca,Nuclear Physics,Lombardy | Milan,https://edurank.org/uni/university-of-milano-bicocca/,121,63,-1.0,33741
University of Genoa,Nuclear Physics,Liguria | Genoa,https://edurank.org/uni/university-of-genoa/,142,71,-1.0,36728
University of Pavia,Nuclear Physics,Lombardy | Pavia,https://edurank.org/uni/university-of-pavia/,144,72,-1.0,22500
University of Trieste,Nuclear Physics,Friuli-Venezia Giulia | Trieste,https://edurank.org/uni/university-of-trieste/,153,76,-1.0,17500
University of Ferrara,Nuclear Physics,Emilia-Romagna | Ferrara,https://edurank.org/uni/university-of-ferrara/,168,85,-1.0,22800
University of Bari,Nuclear Physics,Apulia | Bari,https://edurank.org/uni/university-of-bari/,176,90,-1.0,42500
International School for Advanced Studies,Nuclear Physics,Friuli-Venezia Giulia | Trieste,https://edurank.org/uni/international-school-for-advanced-studies/,250,119,0.05,375
Federico II University of Naples,Nuclear Physics,Campania | Naples,https://edurank.org/uni/federico-ii-university-of-naples/,252,121,-1.0,78324
University of Perugia,Nuclear Physics,Umbria | Perugia,https://edurank.org/uni/university-of-perugia/,259,125,0.7,26732
Roma Tre University,Nuclear Physics,Lazio | Rome,https://edurank.org/uni/roma-tre-university/,274,132,0.75,32500
Polytechnic University of Milan,Nuclear Physics,Lombardy | Milan,https://edurank.org/uni/polytechnic-university-of-milan/,280,135,-1.0,43965
University of Trento,Nuclear Physics,Trentino-South Tyrol | Trento,https://edurank.org/uni/university-of-trento/,316,148,0.55,16239
University of Cagliari,Nuclear Physics,Sardinia | Cagliari,https://edurank.org/uni/university-of-cagliari/,317,149,0.85,26069
Polytechnic University of Turin,Nuclear Physics,Piedmont | Turin,https://edurank.org/uni/polytechnic-university-of-turin/,322,152,-1.0,32500
Normal School of Pisa,Nuclear Physics,Tuscany | Pisa,https://edurank.org/uni/normal-school-of-pisa/,330,155,0.05,125
University of Parma,Nuclear Physics,Emilia-Romagna | Parma,https://edurank.org/uni/university-of-parma/,362,161,-1.0,27500
University of Siena,Nuclear Physics,Tuscany | Siena,https://edurank.org/uni/university-of-siena/,389,170,0.81,17500
University of Calabria,Nuclear Physics,Calabria | Cosenza,https://edurank.org/uni/university-of-calabria/,390,171,0.2,27500
University of Udine,Nuclear Physics,Friuli-Venezia Giulia | Udine,https://edurank.org/uni/university-of-udine/,408,184,0.73,17500
University of Brescia,Nuclear Physics,Lombardy | Brescia,https://edurank.org/uni/university-of-brescia/,410,185,0.48,12500
University of Aquila,Nuclear Physics,Abruzzo | L'Aquila,https://edurank.org/uni/university-of-aquila/,435,191,-1.0,17500
University of Messina,Nuclear Physics,Sicily | Messina,https://edurank.org/uni/university-of-messina/,449,193,-1.0,22500
University of Eastern Piedmont,Nuclear Physics,Piedmont | Vercelli,https://edurank.org/uni/university-of-eastern-piedmont/,455,196,-1.0,12500
University of Salento,Nuclear Physics,Apulia | Lecce,https://edurank.org/uni/university-of-salento/,487,207,-1.0,19401
University of Salerno,Nuclear Physics,Campania | Salerno,https://edurank.org/uni/university-of-salerno/,491,208,-1.0,35537
University of Palermo,Nuclear Physics,Sicily | Palermo,https://edurank.org/uni/university-of-palermo/,638,236,-1.0,42500
University of Cassino and Southern Lazio,Nuclear Physics,Lazio | Cassino,https://edurank.org/uni/university-of-cassino-and-southern-lazio/,770,263,0.55,7500
Carlo Bo University of Urbino,Nuclear Physics,Marche | Urbino,https://edurank.org/uni/carlo-bo-university-of-urbino/,801,270,-1.0,22000
University of Sassari,Nuclear Physics,Sardinia | Sassari,https://edurank.org/uni/university-of-sassari/,820,272,-1.0,12500
Basilicata University,Nuclear Physics,Basilicata | Potenza,https://edurank.org/uni/basilicata-university/,853,279,-1.0,6631
University of Insubria,Nuclear Physics,Lombardy | Varese,https://edurank.org/uni/university-of-insubria/,872,280,-1.0,12500
University of Camerino,Nuclear Physics,Marche | Camerino,https://edurank.org/uni/university-of-camerino/,877,282,-1.0,6500
University of Campania Luigi Vanvitelli,Nuclear Physics,Campania | Caserta,https://edurank.org/uni/university-of-campania-luigi-vanvitelli/,881,284,-1.0,22500
University of Modena and Reggio Emilia,Nuclear Physics,Emilia-Romagna | Modena,https://edurank.org/uni/university-of-modena-and-reggio-emilia/,928,291,0.7,27500
