Name,Subject,Location,URL,World rank (in that subject),Europe rank (in that subject),Acceptance Rate (-1 is an unknown acceptance rate),Enrollment
Sapienza University of Rome,Philosophy,Lazio | Rome,https://edurank.org/uni/sapienza-university-of-rome/,162,61,-1.0,100155
University of Milan,Philosophy,Lombardy | Milan,https://edurank.org/uni/university-of-milan/,193,75,-1.0,65234
University of Turin,Philosophy,Piedmont | Turin,https://edurank.org/uni/university-of-turin/,211,84,-1.0,45000
University of Bologna,Philosophy,Emilia-Romagna | Bologna,https://edurank.org/uni/university-of-bologna/,243,91,0.55,79999
University of Padua,Philosophy,Veneto | Padua,https://edurank.org/uni/university-of-padua/,247,94,-1.0,62876
University of Florence,Philosophy,Tuscany | Florence,https://edurank.org/uni/university-of-florence/,281,104,-1.0,45000
University of Genoa,Philosophy,Liguria | Genoa,https://edurank.org/uni/university-of-genoa/,417,156,-1.0,36728
Federico II University of Naples,Philosophy,Campania | Naples,https://edurank.org/uni/federico-ii-university-of-naples/,422,157,-1.0,78324
University of Bari,Philosophy,Apulia | Bari,https://edurank.org/uni/university-of-bari/,428,160,-1.0,42500
University of Pisa,Philosophy,Tuscany | Pisa,https://edurank.org/uni/university-of-pisa/,443,166,0.25,49108
University of Siena,Philosophy,Tuscany | Siena,https://edurank.org/uni/university-of-siena/,467,176,0.81,17500
University of Trieste,Philosophy,Friuli-Venezia Giulia | Trieste,https://edurank.org/uni/university-of-trieste/,495,189,-1.0,17500
University of Pavia,Philosophy,Lombardy | Pavia,https://edurank.org/uni/university-of-pavia/,522,196,-1.0,22500
Catholic University of the Sacred Heart,Philosophy,Lombardy | Milan,https://edurank.org/uni/catholic-university-of-the-sacred-heart/,543,206,0.66,42500
University of Palermo,Philosophy,Sicily | Palermo,https://edurank.org/uni/university-of-palermo/,587,220,-1.0,42500
University of Bergamo,Philosophy,Lombardy | Bergamo,https://edurank.org/uni/university-of-bergamo/,641,241,0.73,22500
University of Trento,Philosophy,Trentino-South Tyrol | Trento,https://edurank.org/uni/university-of-trento/,651,243,0.55,16239
Ca' Foscari University of Venice,Philosophy,Veneto | Venice,https://edurank.org/uni/ca-foscari-university-of-venice/,675,250,-1.0,22500
University of Messina,Philosophy,Sicily | Messina,https://edurank.org/uni/university-of-messina/,728,262,-1.0,22500
University of Macerata,Philosophy,Marche | Macerata,https://edurank.org/uni/university-of-macerata/,738,267,-1.0,10526
Carlo Bo University of Urbino,Philosophy,Marche | Urbino,https://edurank.org/uni/carlo-bo-university-of-urbino/,744,270,-1.0,22000
University of Parma,Philosophy,Emilia-Romagna | Parma,https://edurank.org/uni/university-of-parma/,766,279,-1.0,27500
Roma Tre University,Philosophy,Lazio | Rome,https://edurank.org/uni/roma-tre-university/,770,281,0.75,32500
University of Verona,Philosophy,Veneto | Verona,https://edurank.org/uni/university-of-verona/,786,288,0.83,23000
University of Cagliari,Philosophy,Sardinia | Cagliari,https://edurank.org/uni/university-of-cagliari/,801,291,0.85,26069
Pontifical Gregorian University,Philosophy,Lazio | Rome,https://edurank.org/uni/pontifical-gregorian-university/,823,295,0.85,2500
University of Eastern Piedmont,Philosophy,Piedmont | Vercelli,https://edurank.org/uni/university-of-eastern-piedmont/,830,300,-1.0,12500
University of Rome Tor Vergata,Philosophy,Lazio | Rome,https://edurank.org/uni/university-of-rome-tor-vergata/,832,301,-1.0,27500
Pontifical University of the Holy Cross,Philosophy,Lazio | Rome,https://edurank.org/uni/pontifical-university-of-the-holy-cross/,867,309,0.34,1500
University of Salerno,Philosophy,Campania | Salerno,https://edurank.org/uni/university-of-salerno/,880,315,-1.0,35537
University of Calabria,Philosophy,Calabria | Cosenza,https://edurank.org/uni/university-of-calabria/,918,329,0.2,27500
University of Perugia,Philosophy,Umbria | Perugia,https://edurank.org/uni/university-of-perugia/,930,334,0.7,26732
University of Catania,Philosophy,Sicily | Catania,https://edurank.org/uni/university-of-catania/,942,336,0.25,42500
