Name,Subject,Location,URL,World rank (in that subject),Europe rank (in that subject),Acceptance Rate (-1 is an unknown acceptance rate),Enrollment
International School for Advanced Studies,Theoretical Physics,Friuli-Venezia Giulia | Trieste,https://edurank.org/uni/international-school-for-advanced-studies/,22,7,0.05,375
Sapienza University of Rome,Theoretical Physics,Lazio | Rome,https://edurank.org/uni/sapienza-university-of-rome/,26,9,-1.0,100155
University of Milan,Theoretical Physics,Lombardy | Milan,https://edurank.org/uni/university-of-milan/,52,21,-1.0,65234
University of Rome Tor Vergata,Theoretical Physics,Lazio | Rome,https://edurank.org/uni/university-of-rome-tor-vergata/,70,28,-1.0,27500
University of Turin,Theoretical Physics,Piedmont | Turin,https://edurank.org/uni/university-of-turin/,82,34,-1.0,45000
University of Pisa,Theoretical Physics,Tuscany | Pisa,https://edurank.org/uni/university-of-pisa/,88,36,0.25,49108
University of Padua,Theoretical Physics,Veneto | Padua,https://edurank.org/uni/university-of-padua/,99,42,-1.0,62876
University of Bologna,Theoretical Physics,Emilia-Romagna | Bologna,https://edurank.org/uni/university-of-bologna/,131,63,0.55,79999
Polytechnic University of Turin,Theoretical Physics,Piedmont | Turin,https://edurank.org/uni/polytechnic-university-of-turin/,146,69,-1.0,32500
University of Florence,Theoretical Physics,Tuscany | Florence,https://edurank.org/uni/university-of-florence/,155,75,-1.0,45000
University of Salerno,Theoretical Physics,Campania | Salerno,https://edurank.org/uni/university-of-salerno/,196,95,-1.0,35537
University of Trento,Theoretical Physics,Trentino-South Tyrol | Trento,https://edurank.org/uni/university-of-trento/,217,107,0.55,16239
University of Trieste,Theoretical Physics,Friuli-Venezia Giulia | Trieste,https://edurank.org/uni/university-of-trieste/,222,108,-1.0,17500
University of Genoa,Theoretical Physics,Liguria | Genoa,https://edurank.org/uni/university-of-genoa/,230,111,-1.0,36728
University of Bari,Theoretical Physics,Apulia | Bari,https://edurank.org/uni/university-of-bari/,268,127,-1.0,42500
University of Parma,Theoretical Physics,Emilia-Romagna | Parma,https://edurank.org/uni/university-of-parma/,275,129,-1.0,27500
University of Perugia,Theoretical Physics,Umbria | Perugia,https://edurank.org/uni/university-of-perugia/,322,144,0.7,26732
University of Cagliari,Theoretical Physics,Sardinia | Cagliari,https://edurank.org/uni/university-of-cagliari/,344,155,0.85,26069
University of Pavia,Theoretical Physics,Lombardy | Pavia,https://edurank.org/uni/university-of-pavia/,354,162,-1.0,22500
University of Milano-Bicocca,Theoretical Physics,Lombardy | Milan,https://edurank.org/uni/university-of-milano-bicocca/,374,167,-1.0,33741
Polytechnic University of Milan,Theoretical Physics,Lombardy | Milan,https://edurank.org/uni/polytechnic-university-of-milan/,383,172,-1.0,43965
University of Eastern Piedmont,Theoretical Physics,Piedmont | Vercelli,https://edurank.org/uni/university-of-eastern-piedmont/,440,197,-1.0,12500
Roma Tre University,Theoretical Physics,Lazio | Rome,https://edurank.org/uni/roma-tre-university/,444,199,0.75,32500
University of Palermo,Theoretical Physics,Sicily | Palermo,https://edurank.org/uni/university-of-palermo/,448,200,-1.0,42500
Federico II University of Naples,Theoretical Physics,Campania | Naples,https://edurank.org/uni/federico-ii-university-of-naples/,462,205,-1.0,78324
University of Catania,Theoretical Physics,Sicily | Catania,https://edurank.org/uni/university-of-catania/,483,210,0.25,42500
University of Camerino,Theoretical Physics,Marche | Camerino,https://edurank.org/uni/university-of-camerino/,513,218,-1.0,6500
Normal School of Pisa,Theoretical Physics,Tuscany | Pisa,https://edurank.org/uni/normal-school-of-pisa/,540,224,0.05,125
University of Aquila,Theoretical Physics,Abruzzo | L'Aquila,https://edurank.org/uni/university-of-aquila/,545,226,-1.0,17500
University of Salento,Theoretical Physics,Apulia | Lecce,https://edurank.org/uni/university-of-salento/,660,265,-1.0,19401
University of Ferrara,Theoretical Physics,Emilia-Romagna | Ferrara,https://edurank.org/uni/university-of-ferrara/,677,269,-1.0,22800
University of Bergamo,Theoretical Physics,Lombardy | Bergamo,https://edurank.org/uni/university-of-bergamo/,715,279,0.73,22500
University of Calabria,Theoretical Physics,Calabria | Cosenza,https://edurank.org/uni/university-of-calabria/,751,286,0.2,27500
University of Udine,Theoretical Physics,Friuli-Venezia Giulia | Udine,https://edurank.org/uni/university-of-udine/,819,305,0.73,17500
Catholic University of the Sacred Heart,Theoretical Physics,Lombardy | Milan,https://edurank.org/uni/catholic-university-of-the-sacred-heart/,875,320,0.66,42500
University of Brescia,Theoretical Physics,Lombardy | Brescia,https://edurank.org/uni/university-of-brescia/,881,321,0.48,12500
University of Messina,Theoretical Physics,Sicily | Messina,https://edurank.org/uni/university-of-messina/,934,328,-1.0,22500
University of Sannio,Theoretical Physics,Campania | Benevento,https://edurank.org/uni/university-of-sannio/,938,329,-1.0,4500
University of Modena and Reggio Emilia,Theoretical Physics,Emilia-Romagna | Modena,https://edurank.org/uni/university-of-modena-and-reggio-emilia/,981,335,0.7,27500
University of Insubria,Theoretical Physics,Lombardy | Varese,https://edurank.org/uni/university-of-insubria/,988,337,-1.0,12500
